text,label
誰が一番に着くか私には分かりません。,誰が一番に着くか私には分かりません。
多くの動物が人間によって滅ぼされた。,多くの動物が人間によって殺された。
私はテニス部員です。,私はテニス部員です。
エミは幸せそうに見えます。,エミは幸せそうに見えます。
この事実を心に留めておいて下さい。,この事実を覚えておいてください。
彼女は私たちの世話をしてくれる。,彼女は私たちの世話をしてくれる。
私達は国際人になりたいと思います。,私たちは国際人になりたいと思います。
約束を破るべきではありません。,約束を破るべきではありません。
道路を横切るときは車に注意しなさい。,道路を渡る時は車に注意しなさい。
私には生き甲斐がない。,私には生きる上での価値がない。
父は私が外国へ行くことを承知した。,父は私が外国へ行くことを許した。
お弁当食べたんでしょう。,お弁当食べたんでしょう。
彼の小説は１つも読んでいない。,彼の小説は１つも読んでいない。
彼はどこへ行ったらいいか分からなかった。,彼はどこへ行ったらいいか分からなかった。
彼女は、母親に少し似ている。,彼女は、母に少し似ている。
卑屈な奴。,自分のことをダメだと考える人。
曇りの日です。,曇りの日です。
彼もそれを見た。,彼もそれを見た。
私は音楽が好きではありません。,私は音楽が好きではありません。
それは本当のはずはない。,それは本当のはずはない。
その仕事を引き受けようかと思っている。,その仕事を担当しようかと思っている。
サッカーは日本で以前よりも今人気がある。,サッカーは日本で前よりも今、人気がある。
車がそんなに混んでなければ問題ないでしょう。,車がそんなに混んでなければ問題ないでしょう。
２時間も待たされた。,２時間も待った。
ボブは私の友達です。,ボブは私の友達です。
気にしないようにしているんだ。,気にしないようにしているんだ。
どうぞ午後に私の家へ来てください。,どうぞ午後に私の家へ来てください。
車でどれくらいかかりますか。,車でどれくらいかかりますか。
私は彼女が子供のころから知っています。,私は彼女が子供の頃から知っています。
申告する物は何もありません。,言っておく物は何もありません。
もう夕食は済みましたか。,もう夕食は食べ終わりましたか。
あなたの国では雪がたくさん降りますか。,あなたの国では雪がたくさん降りますか。
彼はいつも父親の陰口を言います。,彼はいつも父のいないところで悪いことを言います。
それについてどう思った。,それについてどう思った。
的を外してしまった。,対象に当たらなかった。
いい年してそんな馬鹿なまねよせ。,いい年してそんな馬鹿なことはやめろ。
彼女は大変忙しかった。,彼女は大変忙しかった。
彼は危険をものともしない。,彼は危険をものともしない。
何時でしょうか。,何時でしょうか。
彼女はもう少しで遅刻するところだった。,彼女はもう少しで遅れるところだった。
とても好きです。,とても好きです。
今のをもう一度言っていただける。,今のをもう１度言っていただける。
行きたい学校に入れてよかったね。,行きたい学校に入れてよかったね。
電話を切らずにそのまま待ってください。,電話を切らずにそのまま待ってください。
彼女は時々酒を飲む。,彼女は時々お酒を飲む。
彼らはまともに私の顔を見られなかった。,彼らはちゃんと私の顔を見られなかった。
彼の話は奇妙に聞こえる。,彼の話はおかしく聞こえる。
彼女は自分の車を自慢している。,彼女は自分の車を自慢している。
それは、おまえの声をよく聞くためだよ。,それは、あなたの声をよく聞くためだよ。
クラスの男の子の数は３０人です。,クラスの少年の数は３０人です。
あすは歴史の試験を受けなくてはならない。,明日は歴史の試験を受けなくてはならない。
私の計画に反対ですか。,私の計画に反対ですか。
一年分のおこづかいを先に渡しておく。,１年分の自由に使えるお金を先にあげておく。
子供たちを学校に連れて行った。,子供たちを学校に連れて行った。
恐れるな。,怖がるな。
父は今家にいるだろう。,父は今家にいるだろう。
彼は以前は羽振りがよかった。,彼は前は思いのままにお金を使った。
私たちはロンドンで知り合った。,私たちはロンドンでお互いを知った。
ここでは自由に振る舞っていいですよ。,ここでは自由にしていいですよ。
これらの靴は私の物だ。,これらの靴は私の物だ。
向こうに着いたら手紙を下さい。,向こうに着いたら手紙をください。
一週間の休みをとった。,１週間の休みをとった。
私は釣りに行くつもりだったのですが。,私は釣りに行くつもりだったのですが。
彼女は、ひとこともわからなかった。,彼女は、少しの言葉もわからなかった。
何のことを言っているの？,何のことを言っているの？
彼は私を頼りにしている。,彼は私を頼っている。
彼はアメリカの婦人と結婚している。,彼はアメリカの女性と結婚している。
猫は木をかけ登った。,猫は木を走って登った。
彼は何でも、しったかぶりする。,彼は何でも、知っているように見せる。
ジョンは駅の方へと歩いている。,ジョンは駅の方へと歩いている。
そんなに怒る必要はない。,そんなに怒る必要はない。
後で、折り返し電話するわ。,後で、すぐに電話するわ。
ケーキをもっと召し上がってください。,ケーキをもっと食べてください。
私には外国人の友達が２人います。,私には外国人の友達が二人います。
成功するつもりなら努力しなければならない。,成功するつもりなら努力しなければならない。
この２つから選びなさい。,この２つから選びなさい。
その家はかなりぼろ屋になっている。,その家はかなり古くなっている。
私は大坂生まれですが、東京で育ちました。,私は大坂で生まれましたが、東京で生活しました。
月曜日までにこの仕事を終えて下さい。,月曜日までにこの仕事を終わらせてください。
あの家はまだ買い手がつかない。,あの家はまだ買う人がいない。
戦争が起こるかもしれない。,戦争が起こるかもしれない。
目覚めてみると彼女は病院にいた。,起きてみると彼女は病院にいた。
彼女は元気が無くなった。,彼女は元気がなくなった。
それはこっちのセリフですよ。,それはこっちの言葉ですよ。
大阪にはどうやって行くんですか。,大阪にはどうやって行くんですか。
私は彼女の合格を祝った。,私は彼女の合格を喜んだ。
もっとゆっくり言ってください。,もっとゆっくり言ってください。
十中八、九まで彼は彼女と結婚するだろう。,おそらく彼は彼女と結婚するだろう。
お勘定して下さい。,お会計してください。
我々は上のほうから叫び声がするのを耳にした。,私たちは上の方から叫ぶ声がするのを耳にした。
通りにはたくさんの車が見える。,通りには多くの車が見える。
これらはあなたの物ですか。,これらはあなたの物ですか。
書かねばならない手紙があります。,書かねばならない手紙があります。
その帽子は５０ドルでした。,その帽子は５０ドルでした。
中国人は朝食に何を食べますか。,中国人は朝食に何を食べますか。
彼は君にここにいてもらいたがっている。,彼はあなたにここにいてもらいたいと思っている。
彼は試験をうけるべきであったのに。,彼は試験を受けるべきであったのに。
私の兄は交通事故で亡くなった。,私の兄は交通事故で死んだ。
この仕事は単純なので子供にもできる。,この仕事は簡単なので子供にもできる。
老人をいたわりなさい。,老人を大切にしなさい。
我々は上のほうから叫び声がするのを耳にした。,私たちは上の方から叫ぶ声がするのを耳にした。
通りにはたくさんの車が見える。,通りには多くの車が見える。
これらはあなたの物ですか。,これらはあなたの物ですか。
書かねばならない手紙があります。,書かねばならない手紙があります。
