text,label
誰が一番に<MASK>か私には分かりません。,誰が一番に着くか私には分かりません。
多くの<MASK>が人間によって<MASK>れた。,多くの動物が人間によって殺された。
<MASK>はテニス部員です。,私はテニス部員です。
エミは幸せそうに<MASK>ます。,エミは幸せそうに見えます。
この<MASK>を覚えておいてください。,この事実を覚えておいてください。
<MASK>は私たちの世話を<MASK>てくれる。,彼女は私たちの世話をしてくれる。
<MASK>たちは国際人になりたい<MASK>思います。,私たちは国際人になりたいと思います。
約束を<MASK>べきではありません。,約束を破るべきではありません。
道路を渡る時は<MASK>に注意しなさい。,道路を渡る時は車に注意しなさい。
<MASK>には生きる上での価値がない。,私には生きる上での価値がない。
<MASK>は<MASK>が<MASK>へ行くことを許した。,父は私が外国へ行くことを許した。
父は私が外国へ行く<MASK>を承知した。,父は私が外国へ行く事を承知した。
お<MASK><MASK>たんでしょう。,お弁当食べたんでしょう。
彼の<MASK>は１つも<MASK><MASK>いない。,彼の小説は１つも読んでいない。
<MASK>は、母に少し似ている。,彼女は、母に少し似ている。
曇りの<MASK>です。,曇りの日です。
彼もそれを<MASK>た。,彼もそれを見た。
彼も<MASK>を見た。,彼も彼を見た。
それは<MASK>のはずはない。,それは本当のはずはない。
<MASK>は本当のはずはない。,あれは本当のはずはない。
その<MASK>を<MASK>しようか<MASK><MASK>ている。,その仕事を担当しようかと思っている。
<MASK>仕事を引き受けようかと思っている。,同じ仕事を引き受けようかと思っている。
サッカーは日本で前よりも今、人気<MASK>ある。,サッカーは日本で前よりも今、人気がある。
車<MASK>そんなに混んでなければ<MASK>ないでしょう。,車がそんなに混んでなければ問題ないでしょう。
２<MASK>も待った。,２時間も待った。
ボブは私の<MASK>です。,ボブは私の友達です。
<MASK>にしないように<MASK>ているんだ。,気にしないようにしているんだ。
気にしない<MASK>にしているんだ。,気にしないふうにしているんだ。
<MASK>午後に私の家へ<MASK>てください。,どうぞ午後に私の家へ来てください。
車<MASK>どれくらいかかりますか。,車でどれくらいかかりますか。
車で<MASK>くらいかかりますか。,車で何くらいかかりますか。
私は彼女<MASK><MASK>の頃から<MASK>ています。,私は彼女が子供の頃から知っています。
私は彼女が子供のころ<MASK>知っています。,私は彼女が子供のころより知っています。
<MASK>ておく<MASK>は<MASK>もありません。,言っておく物は何もありません。
もう夕食は食べ<MASK>ましたか。,もう夕食は食べ終わりましたか。
あなたの<MASK><MASK>は雪がたくさん降りますか。,あなたの国では雪がたくさん降りますか。
彼はいつも父のいないところ<MASK><MASK>ことを<MASK>ます。,彼はいつも父のいないところで悪いことを言います。
それについて<MASK><MASK>た。,それについてどう思った。
<MASK>についてどう思った。,彼についてどう思った。
対象に<MASK>なかった。,対象に当たらなかった。
いい<MASK>して<MASK>馬鹿なことはやめろ。,いい年してそんな馬鹿なことはやめろ。
彼女は<MASK><MASK>た。,彼女は大変忙しかった。
彼は危険をもの<MASK>もしない。,彼は危険をものともしない。
<MASK><MASK>でしょうか。,何時でしょうか。
<MASK>はもう少しで<MASK>ところだった。,彼女はもう少しで遅れるところだった。
とても<MASK>です。,とても好きです。
今のを<MASK>１度言っていただける。,今のをもう１度言っていただける。
電話を<MASK>ずにそのまま<MASK>てください。,電話を切らずにそのまま待ってください。
彼らはちゃんと私の<MASK>を<MASK>られなかった。,彼らはちゃんと私の顔を見られなかった。
彼の話はおかしく<MASK>。,彼の話はおかしく聞こえる。
<MASK>は自分の車を自慢している。,彼女は自分の車を自慢している。
それは、あなたの<MASK>をよく<MASK>ためだよ。,それは、あなたの声をよく聞くためだよ。
